,BORO,YEAR,Property_Count,pct_change
0,1,2011,124194,
1,1,2012,125828,1.3156835273845813
2,1,2013,126395,0.4506151254092927
3,1,2014,126796,0.31725938526048214
4,1,2015,128605,1.42670115776522
5,1,2016,129691,0.8444461723883245
6,1,2017,133653,3.0549536976351543
7,1,2018,135852,1.6453053803506146
8,1,2019,138003,1.5833406942849626
9,2,2011,94959,
10,2,2012,95108,0.15690982423992583
11,2,2013,95292,0.19346427219582019
12,2,2014,95311,0.019938714687484094
13,2,2015,95363,0.0545582356705987
14,2,2016,95430,0.07025785682077679
15,2,2017,95484,0.056585979251799756
16,2,2018,95568,0.0879728540907454
17,2,2019,95650,0.08580277917293877
18,3,2011,287082,
19,3,2012,290216,1.0916741558161025
20,3,2013,291977,0.6067894258069861
21,3,2014,292952,0.33393041232698817
22,3,2015,294196,0.42464294491930676
23,3,2016,294951,0.2566316333328711
24,3,2017,296954,0.6790958498191335
25,3,2018,299224,0.7644281605905245
26,3,2019,301669,0.8171136005133306
27,4,2011,328753,
28,4,2012,330413,0.5049383579769584
29,4,2013,331683,0.3843674431696087
30,4,2014,332001,0.09587467551848139
31,4,2015,332942,0.2834328812262532
32,4,2016,333430,0.14657207561676877
33,4,2017,333709,0.08367573403713635
34,4,2018,334956,0.3736788639203681
35,4,2019,336016,0.3164594752743666
36,5,2011,127058,
37,5,2012,127316,0.20305687166490838
38,5,2013,127476,0.12567155738476554
39,5,2014,127261,-0.16865919859424539
40,5,2015,127641,0.2985989423311075
41,5,2016,127814,0.13553638721099937
42,5,2017,127702,-0.08762733346894258
43,5,2018,128013,0.2435357316251885
44,5,2019,128194,0.14139188988617768
